,ID,Input,Augment
880067,1685572093,@taylorswift13  I enjoy watching your video blogs on YouTube.,@ Taylorswift13 I like to watch your video blogs on YouTube.
910228,1751503636,"@mikaylaap Hey did you get any more info about your graduation? And I think my mom's gonna let me go to CP, if you guys still wanna go! ","@Mikaylaap hey have you obtained more information on your diploma? And I think my mother will let me go to CP, if you still want to go!"
41103,1573965251,@oh_panda OH baby girl! Are we dying or are we already dead and in hell? I never can tell,@Oh_panda oh baby girl! Do we die or are we already dead and in hell? I can never say
1517727,2175876127,@lesanto  no offers here afraid,@Lesanto no frightened offer here
547627,2202129224,thinks Martin Weiss @afroman2168 is a big buuuullly but he did kinda win @drainey323,Think that Martin Weiss @ afroman2168 is a big buuullly but he won a little @ drainy323
1435915,2060891091,@oyvind it's the same on my iPhone. perhaps it's fake AT&amp;T? :p note: roaming tends to get expensive :p Telenor sends sms at 1000nok / day,@Oyvind is the same on my iPhone. Maybe this is false to & amp; t? : P NOTE: Itineus tends to cost dearly: P Telenor sends SMS to 1000Nok / Day
15059,1553979776,Josh hates me  i love himmmmm,Josh hates me I love him
768951,2301200802,mad ii am goiing to miiss the Beyonce concert iin B-More!  â¥,Mad II Am Going in Miiss the Beyonce Concert Iin B-More! â ™ ¥
567217,2207113772,My laptop is almost dead   Operating with all my expertise,My laptop is almost dead to operate with all my expertise
75606,1695245484,@loisdianne29 lol..just hit the reply button? :p im not sure if the mobile web environment is the same as the web  :|,@ Loisdianne29 lol ... just press the answer button? : p I don't know if the mobile web environment is the same as the web: |
26171,1558639369,@lisssa that didnt work.,@lisssa who did not work.
1161877,1979544457,Wanna go to the Fimu,I want to go to Fimu
611754,2224695153,"@MissShuganah broken families, high illegitimacy rates correlate well with fucked-up neighborhoods, schools, and cycles of dependancy ","@MissShuganah Broken families, high rates of illegitimacy are well in correlation with damn districts, schools and dependence cycles"
1435165,2060752623,"Finishing my packing for Florida! Getting up at 2am, leaving at 3am, plane leaves at 5:55am. Beautiful weather, here I come! ","Finish my packaging for Florida! Getting up at 2 a.m., starting at 3 a.m., the plane leaves at 5:55 am. Good weather, I come!"
1020943,1882468291,"@RISEUPLLC No rush! I'm reading The Irrestistible Revolution, 3 Cups of Tea, &amp; Here comes Everybody all at the same time right now ","@RiseUPLLC no precipitation! I read the irrestisible revolution, 3 cups of tea, & amp; Here are everyone at the same time now"
31612,1564058816,ugh school in 6 hours.,UGH school in 6 hours.
631478,2232345116,wishes she could go to REPO this weekend.,Wish her to go to Repo this weekend.
1016457,1881699957,"@shanselman Ah, Ispoke too soon, winfox is not what I wanted ;( but, its cool ","@Shanselman Ah, ispoke too early, Winfox is not what I wanted; (but it's cool"
380742,2052631595,Seems the good weather has gone away for a bit. Raining here.,It seems that good weather has disappeared a little. It's raining here.
864071,1677223700,"morning, really nice sunshine outside looking forward to going a long walk with the dog ","morning, really beautiful sun outside the pleasure of making a long walk with the dog"
56116,1685302366,@herotozero i saw it on slow-mo after.. wish i didn't.  i hate seeing people get hurt. :|,@Herotozero I saw it on the idle after .. I would have liked not to do it. I hate seeing people get injured. : |
601118,2221071958,"@metgirl4ever It's messed up. As days pass, I'm more worried about my position here, but I hate the job enough not to care that much... ","@ Metgirl4ever is spoiled. Over the days, I am more worried about my position here, but I hate work enough not to worry about it ..."
784582,2324204509,@skiphopjump NOOOOOOOOO... You gone for an emergency appointment yet?,@Skiphopjump Nooooooo ... Have you still gone for an emergency meeting?
127375,1834705140,Tryin to work out how the fuck im going to survive 3 months without me car!  seriously not happy! piece of shit Fiat!!!,Try to understand how fucking I will survive 3 months without me by car! Seriously not happy! Fiat shit piece !!!
96576,1792661551,"@frecklejewp shit, just logged onto twitter today! argh sorry ","@Frecklejewp shit, just connected to Twitter today! Sorry argh"
1021728,1882637531,Just got out of class. And now I am enjoying a latte and apple fritter thingy from the best coffeeshop that I have ever been in!,"I just got out of the class. And now, I appreciate a thing of latte and gaspling of apples of the best Coffeeshop in which I have ever been!"
1420582,2058164453,@AshleighGlover Can I come?!  X,@Ashleighglover can I come?! X
363309,2047802726,Missing my boioh terribly  hoping he's okay,Miss my oioh hoping it is fine
